Time,Channel B
(ns),(mV)

415.49999069,-9.66043300
415.99999068,-9.60568300
416.49999066,-9.59461100
416.99999065,-9.70472400
417.49999063,-9.93171700
417.99999062,-9.98092900
418.49999061,-9.84005800
418.99999059,-9.83452200
419.49999058,-9.95386200
419.99999056,-10.00861000
420.49999055,-9.99753900
420.99999054,-10.00062000
421.49999052,-10.02215000
421.99999051,-9.91264700
422.49999049,-9.67458200
422.99999048,-9.67704200
423.49999047,-9.92618100
423.99999045,-9.98400600
424.49999044,-9.85420700
424.99999042,-9.79884200
425.49999041,-9.82098900
425.99999039,-9.76870100
426.49999038,-9.64936000
426.99999037,-9.64382400
427.49999035,-9.74101800
427.99999034,-9.90649500
428.49999032,-10.13349000
428.99999031,-10.13349000
429.49999030,-9.90649500
429.99999028,-9.74101800
430.49999027,-9.64382400
430.99999025,-9.64689900
431.49999024,-9.75516700
431.99999022,-9.85912800
432.49999021,-9.94586600
432.99999020,-10.05536000
433.49999018,-10.18516000
433.99999017,-10.07566000
434.49999015,-9.72933000
434.99999014,-9.61983200
435.49999013,-9.74963100
435.99999011,-9.86220500
436.49999010,-9.95939900
436.99999008,-10.01169000
437.49999007,-10.01169000
437.99999006,-9.95386200
438.49999004,-9.83452200
438.99999003,-9.83452200
439.49999001,-9.95386200
439.99999000,-10.01169000
440.49998998,-10.01169000
440.99998997,-9.95939900
441.49998996,-9.86220500
441.99998994,-9.75762700
442.49998993,-9.66043300
442.99998991,-9.60260800
443.49998990,-9.58107800
443.99998989,-9.74286400
444.49998987,-10.07812000
444.99998986,-10.18824000
445.49998984,-10.06951000
445.99998983,-9.90403500
446.49998981,-9.69918700
446.99998980,-9.59215000
447.49998979,-9.59215000
447.99998977,-9.70164800
448.49998976,-9.91818300
448.99998974,-10.02522000
449.49998973,-10.01415000
449.99998972,-9.95386200
450.49998970,-9.83452200
450.99998969,-9.83206100
451.49998967,-9.94033000
451.99998966,-10.05536000
452.49998964,-10.18516000
452.99998963,-10.07566000
453.49998962,-9.72933000
453.99998960,-9.61983200
454.49998959,-9.74963100
454.99998957,-9.85912800
455.49998956,-9.94586600
455.99998955,-10.04983000
456.49998953,-10.15810000
456.99998952,-10.15810000
457.49998950,-10.04983000
457.99998949,-9.94033000
458.49998948,-9.83206100
458.99998946,-9.83452200
459.49998945,-9.95386200
459.99998943,-10.01415000
460.49998942,-10.02522000
460.99998940,-9.91510800
461.49998939,-9.68811500
461.99998938,-9.63582600
462.49998936,-9.76562400
462.99998935,-9.82652600
463.49998933,-9.82652600
463.99998932,-9.76870100
464.49998931,-9.64936000
464.99998929,-9.64936000
465.49998928,-9.76870100
465.99998926,-9.82344900
466.49998925,-9.81237700
466.99998923,-9.80745600
467.49998922,-9.79638200
467.99998921,-9.84559500
468.49998919,-9.94279000
468.99998918,-10.04983000
469.49998916,-10.15810000
469.99998915,-10.15810000
470.49998914,-10.04983000
470.99998912,-9.94033000
471.49998911,-9.83206100
471.99998909,-9.83452200
472.49998908,-9.95386200
472.99998907,-10.01415000
473.49998905,-10.02522000
473.99998904,-9.91510800
474.49998902,-9.68811500
474.99998901,-9.63336600
475.49998899,-9.75209100
475.99998898,-9.86220500
476.49998897,-9.95939900
476.99998895,-10.00308000
477.49998894,-9.97047100
477.99998892,-10.08059000
478.49998891,-10.32911000
